L1 Код;L1 Назва;L2 Код;L2 Назва;L3 Код;L3 Назва (проблема);Коли обирати цю категорію;Чим відрізняється від схожих категорій
H;Будинок;H.1;Загальний стан;H.1.1;Не працює ліфт / застряг ліфт;"Коли основна проблема пов'язана з ліфтом у будинку: не їде, не реагує на кнопки, застряг між поверхами, двері не відчиняються/зачиняються, люди не можуть скористатися ліфтом.";"Якщо світло відсутнє в усьому будинку чи квартирі, але про ліфт не згадують, обираємо U.1.1 (Немає світла). H.1.1 використовуємо, коли користувач прямо скаржиться на роботу ліфта як обладнання."
H;Будинок;H.1;Загальний стан;H.1.2;Протікає дах;"Коли після дощу або танення снігу на останніх поверхах з’являється вода зі стелі, мокрі плями, пліснява, патьоки, або мешканці описують протікання саме з даху будинку.";Якщо вода тече з труби опалення чи батареї — це U.4.2 (Прорив труби опалення). Якщо вода або волога тільки в підвалі без згадки про дах — це H.1.3 (Поганий стан підвалу).
H;Будинок;H.1;Загальний стан;H.1.3;"Поганий стан підвалу (затоплення, сморід)";"Коли у підвалі будинку стоїть вода, сильний запах сирості чи каналізації, пліснява, щури, сміття або постійна волога, і скарга прив'язана саме до підвалу.";"Якщо йдеться про фекальні стоки в підвалі, краще обрати U.5.2 (Фекальні стоки у підвалі). Якщо проблема не в підвалі, а на вулиці чи у дворі (калюжі після дощу), це U.6.1 (Стоїть вода після дощу) або інша зовнішня категорія."
H;Будинок;H.2;Під'їзд;H.2.1;Не горить світло у під'їзді;"Коли в під'їзді, на сходових клітках або в коридорах між квартирами темно: не працюють лампи, вимикачі, датчики руху, і проблема стосується саме внутрішнього освітлення будинку.";"Якщо йдеться про ліхтарі на вулиці вздовж дороги — це R.2.1 (Не горить вуличний ліхтар). Якщо ліхтарі у дворі біля будинку, поза під'їздом — D.1.2 (Відсутнє освітлення двору). H.2.1 завжди про внутрішні спільні приміщення будинку."
H;Будинок;H.2;Під'їзд;H.2.2;Не прибирають у під'їзді;"Коли мешканці скаржаться, що в під'їзді брудно: сміття на підлозі, пил, павутиння, плями, неприємний запах, відсутнє регулярне прибирання сходів та коридорів.";Якщо сміття на вулиці або створене стихійне звалище — це R.3.1 (Нелегальне звалище). Якщо переповнені сміттєві контейнери біля будинку — D.2.1 (Не вивозять сміття). H.2.2 стосується саме внутрішніх приміщень будинку.
H;Будинок;H.2;Під'їзд;H.2.3;Пошкоджені двері / вікна в під'їзді;"Коли у під'їзді або на вході в будинок розбиті шибки, тріснуте скло, зламані вхідні двері, несправний замок чи домофон, або відійшли рами вікон.";"Якщо пошкоджені вхідні двері конкретної квартири, це зазвичай приватна відповідальність і може належати до NOT_MUNICIPAL. Якщо мова про вуличні павільйони, зупинки чи елементи благоустрою поза будинком — це радше R.3.*, а не H.2.3."
D;Двір;D.1;Благоустрій;D.1.1;Яма на внутрішньодворовому проїзді;"Коли мешканці скаржаться на ями, вибоїни, зруйноване асфальтове або плиткове покриття на дорозі всередині двору: між будинками, до паркінгу, до сміттєвих баків.";"Якщо яма на головній вулиці, проспекті чи трасі, а не у дворі, обираємо R.1.1 (Яма на проїжджій частині). D.1.1 застосовується саме для внутрішньодворових проїздів, доступних мешканцям одного чи кількох будинків."
D;Двір;D.1;Благоустрій;D.1.2;Відсутнє освітлення двору;"Коли у дворі темно: не працюють ліхтарі, що освітлюють дитячий майданчик, парковку, доріжки, внутрішньодворові проїзди або іншу прибудинкову територію.";"Якщо не працює світло в під'їзді — це H.2.1. Якщо ліхтарі розташовані вздовж міської дороги, на стовпах уздовж вулиці, це R.2.1 (Не горить вуличний ліхтар). D.1.2 стосується дворової території."
D;Двір;D.1;Благоустрій;D.1.3;Пошкоджений дитячий/спортивний майданчик;"Коли у дворі зламані гойдалки, гірки, турніки, сітки, елементи дитячого або спортивного майданчика, є ризик травм для дітей чи мешканців.";"Якщо майданчик розташований на території школи, приватного закладу або стадіону, відповідальність може бути іншою (можливо UNCLEAR або NOT_MUNICIPAL). D.1.3 застосовується для типових дворових майданчиків, закріплених за будинком/ЖЕКом."
D;Двір;D.1;Благоустрій;D.1.4;Пошкоджений бордюр / тротуар у дворі;"Коли у дворі будинку провалений, зруйнований або відсутній бордюр, розбита плитка, нерівний тротуар чи пішохідна доріжка на прибудинковій території.";"Якщо пошкоджений тротуар уздовж міської дороги, а не в межах двору, це може бути R.1.1 (Яма на проїжджій частині) або інша дорожня категорія, залежно від контексту. D.1.4 — лише для прибудинкових тротуарів і бордюрів."
