code,description,responsible_entity,category_name
H.1.1,"Не працює ліфт / застряг ліфт",ManagementCompany/OSBB,"Управління багатоквартирним будинком"
H.2.1,"Не горить світло у під'їзді",ManagementCompany/OSBB,"Управління багатоквартирним будинком"
H.3.1,"Пошкодження даху / Протікає стеля",ManagementCompany/OSBB,"Управління багатоквартирним будинком"
H.3.2,"Затоплення квартири сусідами зверху",Private_Neighbors,"Приватна проблема"
H.4.1,"Пошкоджені двері / вікна в під'їзді",ManagementCompany/OSBB,"Управління багатоквартирним будинком"
H.4.2,"Сміття / антисанітарія в під'їзді / Поганий стан підвалу",ManagementCompany/OSBB,"Управління багатоквартирним будинком"
H.5.1,"Прорив труби опалення/води/каналізації (в квартирі/під'їзді/стояку)",ManagementCompany/OSBB,"Управління багатоквартирним будинком"
U.1.1,"Немає світла у квартирі / будинку / Перепади напруги",MunicipalUtility_Electricity,"Постачання електричної енергії"
U.2.1,"Немає холодної води / Слабкий напір",MunicipalUtility_Water,"Централізоване водопостачання"
U.3.1,"Немає гарячої води / Ледь тепла вода",MunicipalUtility_HeatProvider,"Постачання гарячої води"
U.3.2,"Не працює система опалення / Холодні батареї",MunicipalUtility_HeatProvider,"Постачання теплової енергії"
U.4.1,"Забита каналізація у квартирі / Фекальні стоки у підвалі / Аварійне затоплення",ManagementCompany/OSBB,"Централізоване водовідведення"
U.4.2,"Прорив каналізаційного колектора (зовнішня мережа)",MunicipalUtility_Water,"Централізоване водовідведення"
U.4.3,"Забита ливнівка / Стоїть вода після дощу / Пошкоджена решітка",MunicipalUtility_Water,"Централізоване водовідведення (ливневка)"
G.1.1,"Запах газу в приміщенні/під'їзді",MunicipalUtility_GasService,"Постачання природного газу"
G.1.2,"Відсутність газопостачання",MunicipalUtility_GasService,"Постачання природного газу"
S.1.1,"Не вивозять сміття (контейнери)",MunicipalUtility_WasteCollector,"Поводження з побутовими відходами"
S.1.2,"Нелегальне звалище / сміття на вулиці",MunicipalUtility_WasteCollector,"Поводження з побутовими відходами"
R.1.1,"Яма на проїжджій частині",MunicipalUtility_Roads,"Утримання доріг"
R.2.1,"Не прибраний сніг / ожеледиця на тротуарі/дорозі",MunicipalUtility_Roads/ManagementCompany,"Утримання доріг/території"
R.2.2,"Пошкоджений бордюр / тротуар у дворі",ManagementCompany/OSBB,"Утримання доріг/території"
T.1.1,"Не працює світлофор",MunicipalUtility_TrafficMgmt,"Управління дорожнім рухом"
P.1.1,"Повалене дерево / Аварійні гілки, що загрожують падінням",MunicipalUtility_GreeneryService,"Утримання зелених насаджень"
P.1.2,"Яма на внутрішньодворовому проїзді / Не косять траву",ManagementCompany/OSBB,"Управління багатоквартирним будинком"
I.1.1,"Відсутнє вуличне освітлення / Не горить ліхтар",MunicipalUtility_Electricity,"Зовнішнє освітлення"
I.1.2,"Пошкоджений дитячий/спортивний майданчик / лавка / урна",ManagementCompany/OSBB,"Управління багатоквартирним будинком"
L.1.1,"Незаконне будівництво / захоплення землі",MunicipalUtility_ArchitectureDept,"Правопорушення"
A.1.1,"Бродячі тварини (агресивні)",Контроль за тваринами,"Контроль за тваринами"
N.1.1,"Сильний шум у нічний час (від сусідів/закладу)",Правопорушення (поліція),"Правопорушення"
D.1.1,"Пошкодження фасаду будівлі",ManagementCompany/OSBB,"Управління багатоквартирним будинком"
W.1.1,"Витік води з пожежного гідранта / колонки",MunicipalUtility_Water,"Централізоване водопостачання"
W.1.2,"Відсутність питної води в бюветі",MunicipalUtility_Water,"Централізоване водопостачання"
W.1.3,"Прорив/аварія магістральної труби водопостачання (НА ВУЛИЦІ)",MunicipalUtility_Water,"Централізоване водопостачання (аварія)"
O.1.1,"Несанкціонована реклама / графіті на будівлі",ManagementCompany/OSBB,"Управління багатоквартирним будинком"
O.1.2,"Проблема з вентиляцією / якістю повітря",ManagementCompany/OSBB,"Управління багатоквартирним будинком"
R.2.3,"Сміття / бруд на тротуарі / прибудинковій території",ManagementCompany/MunicipalUtility_Roads,"Утримання доріг/території"
