entity_id,name,phone,email,address,description,responsible_entity_type
KyivVoda_General_1581,"ПрАТ «АК «Київводоканал» (Аварійна лінія)",15-81,contact@vodokanal.kiev.ua,"м. Київ, вул. Еспланадна, 3А","Аварійна служба водопостачання та каналізації міста Києва (зовнішні мережі, колектори).",MunicipalUtility_Water
KyivVoda_Dispatch,"ПрАТ «АК «Київводоканал» (Диспетчерська)",(044) 200-73-01,contact@vodokanal.kiev.ua,"м. Київ, вул. Еспланадна, 3А","Диспетчерська служба водопостачання та каналізації міста Києва.",MunicipalUtility_Water
KyivEnergo_General,"Київенерго (ДТЕК)",0800-501-588,info@dtek-kyivskie-elektroseti.com.ua,"м. Київ, вул. Жилянська, 108","Постачання електроенергії споживачам Києва, обслуговування електромереж.",MunicipalUtility_Electricity
KyivGas_General,"Київгаз (Аварійна служба)",104,callcenter@kyivgaz.ua,"м. Київ, вул. Кіквідзе, 4","Аварійна служба газопостачання, витік газу.",MunicipalUtility_GasService
KyivHeat_General,"Київтеплоенерго (ЦКС)",(044) 247-40-40,info@kte.kmda.gov.ua,"м. Київ, просп. Науки, 11","Постачання теплової енергії та гарячої води, обслуговування тепломереж.",MunicipalUtility_HeatProvider
KyivAvtodor_General,"КК «Київавтодор»",(044) 280-57-56,info@kyivavtodor.kyivcity.gov.ua,"м. Київ, вул. Комінтерну, 11","Утримання доріг, мостів, вуличного освітлення, прибирання снігу на дорогах міста.",MunicipalUtility_Roads
KS_Svyatoshin_1,"Керуюча компанія Святошинського району",(067) 521-19-04,kk_svyatoshin@kyivcity.gov.ua,"м. Київ, вул. Симиренка, 17","Обслуговування житлового фонду Святошинського району.",ManagementCompany/OSBB
KS_Solomianka_1,"Керуюча компанія Солом'янського району",(067) 521-19-04,info@kpsolor.com.ua,"м. Київ, вул. Левка Мацієвича, 6","Обслуговування житлового фонду Солом'янського району.",ManagementCompany/OSBB
KS_Darnitsa_1,"Керуюча компанія Дарницького району",(044) 564-90-20,kkdarn@ukr.net,"м. Київ, вул. Заслонова, 2","Обслуговування житлового фонду Дарницького району.",ManagementCompany/OSBB
KS_Dnipro_1,"Керуюча компанія Дніпровського району",(044) 290-93-85,kpdnipro@ukr.net,"м. Київ, вул. Червоноткацька, 18А","Обслуговування житлового фонду Дніпровського району.",ManagementCompany/OSBB
KS_Pechersk_1,"Керуюча компанія Печерського району",(044) 280-77-90,info@kkpr.com.ua,"м. Київ, вул. Михайла Омеляновича-Павленка, 11","Обслуговування житлового фонду Печерського району.",ManagementCompany/OSBB
KyivZelenBud_General,"КО «Київзеленбуд»",(044) 272-40-18,info@kievzelenbud.com.ua,"м. Київ, вул. Кудрявська, 23","Утримання парків, скверів, повалені дерева, аварійні гілки по місту.",MunicipalUtility_GreeneryService
KyivTransPark_General,"КП «Київтранспарксервіс»",(044) 458-34-92,info@ktps.kyiv.ua,"м. Київ, вул. Чистяківська, 6А","Парковки, евакуація автомобілів, обслуговування паркоматів.",MunicipalUtility_TrafficMgmt
KyivMetropoliten_General,"КП «Київський метрополітен»",(044) 238-44-24,info@metro.kyiv.ua,"м. Київ, просп. Перемоги, 35","Обслуговування інфраструктури метрополітену.",MunicipalUtility_Transport
CKS_General,"Центр комунального сервісу (ЦКС)",(044) 247-40-40,support@cks.com.ua,"м. Київ, просп. Науки, 11","Єдине вікно для подання показників лічильників, оплати послуг, консультацій.",CustomerService_Center
OSBB_Hrekova3_1,"ОСББ Наш Дім Грекова 3",(044) 111-11-11,osbb@example.com,"м. Київ, вул. Грекова, 3","Обслуговує будинок за адресою: м. Київ, вул. Грекова, 3",ManagementCompany/OSBB
OSBB_Bazhana28A,"ОСББ Сонячний",(093) 123-45-67,osbb2@example.com,"м. Київ, просп. Миколи Бажана, 28-А","Обслуговує будинок за адресою: м. Київ, просп. Миколи Бажана, 28-А",ManagementCompany/OSBB
ZhBK_Ozerne9G,"ЖБК Озерний",(096) 987-65-43,zhbk@example.com,"м. Київ, вул. Лайоша Гавро, 9-Г","Обслуговує будинок за адресою: м. Київ, вул. Лайоша Гавро, 9-Г",ManagementCompany/OSBB
OSBB_Grishka8B,"ОСББ Мій дім",(044) 567-89-01,osbb3@example.com,"м. Київ, вул. Михайла Гришка, 8-Б","Обслуговує будинок за адресою: м. Київ, вул. Михайла Гришка, 8-Б",ManagementCompany/OSBB
OSBB_Khreschatyk27B,"ОСББ Капітолій",(044) 235-20-17,osbb4@example.com,"м. Київ, вул. Хрещатик, 27-Б","Обслуговує будинок за адресою: м. Київ, вул. Хрещатик, 27-Б",ManagementCompany/OSBB
KyivEcology_General,"Департамент екології та природних ресурсів КМДА",(044) 207-07-79,ecology@kyivcity.gov.ua,"м. Київ, вул. Хрещатик, 36","Контроль за станом навколишнього середовища, незаконні звалища на території міста.",MunicipalUtility_HousingDept
VetMed_Kyiv,"Київська міська лікарня ветеринарної медицини",(044) 426-38-15,vet@kyivcity.gov.ua,"м. Київ, вул. Ярославська, 13","Контроль за тваринами, притулок.",Control_Animals
Police_Kyiv,"Національна поліція України (Київ)",102,pressa@kyiv.police.gov.ua,"м. Київ, вул. Володимирська, 15","Реагування на правопорушення, шум у нічний час.",Police_Service
KyivParking_General,"КП «Київтранспарксервіс»",(044) 366-66-84,parkservice@kyiv.ua,"м. Київ, вул. Івана Франка, 29Б","Паркування, штрафи, евакуація.",MunicipalUtility_TrafficMgmt
KyivWaste_General,"КП «Київкомунсервіс»",(044) 594-77-15,info@kks.kyiv.ua,"м. Київ, вул. Кудрявська, 23","Вивіз побутових відходів, обслуговування контейнерів.",MunicipalUtility_WasteCollector
KyivCityAdmin_1551,"Контактний центр міста Києва 1551",15-51,contact@1551.gov.ua,"м. Київ, вул. Хрещатик, 36","Єдиний центр для прийому скарг та звернень громадян з усіх комунальних питань міста.",CustomerService_Center
KS_Podil_1,"Керуюча компанія Подільського району",(044) 425-01-05,info@kppodil.kiev.ua,"м. Київ, вул. Костянтинівська, 14/8","Обслуговування житлового фонду Подільського району.",ManagementCompany/OSBB
